B-REF	Böllert, K. (2005): Prävention und Intervention. In: Otto, H.-U./Thiersch, H. (Hg.): Handbuch Soziale Arbeit
I-REF	Sozialpädagogik. München; Basel: Ernst Reinhardt Verlag, S. 1394-1398.
B-REF	BMFSFJ [Bundesministerium für Familie, Senioren, Frauen und Jugend] (1990): Achter Kinder-und Jugend-
I-REF	bericht. Bonn.
B-REF	Caplan, G./Grunebaum, H. (1967): Perspectives on primary prevention. A review. Archives in Genetic
I-REF	Psychiatry, 17, S. 331-346.
B-REF	Cierpka, M. (2005): Gewaltprävention – Unterstützung der Familien und Förderung der Kinder. In: Egle, U. T./
I-REF	Hoffmann, S. O./Joraschky, P. (Hg.): Sexueller Missbrauch, Misshandlung, Vernachlässigung. Erkennung,
I-REF	Therapie und Prävention der Folgen früher Stresserfahrungen. Stuttgart; New York: Schattauer Verlag,
I-REF	S. 636-649.
B-REF	Fegert, J. M. (2009): Guter Start ins Kinderleben. Projekt, Ergebnisse, Empfehlungen und Perspektiven. Vor-
I-REF	trag auf der Abschlussveranstaltung zum Modellprojekt " Guter Start ins Kinderleben " am 13.07.2009 in
I-REF	München. URL: http://www.stmas.bayern.de/jugend/kinderschutz/koki/auft-fegert.pdf [18.05.11]
B-REF	Forsa [Gesellschaft für Sozialforschung und statistische Analysen mbH] (2008): Das Lebensgefühl junger
I-REF	Eltern – Eine repräsentative Untersuchung im Auftrag von ELTERN.
I-REF	URL: http://www.eltern.de/pdf/Das-Lebensgefuehl-junger-Eltern.pdf [18.11.10]
B-REF	Fthenakis, W. E./Kalicki, B./Peitz, G. (2002): Paare werden Eltern. Die Ergebnisse der LBS-Familien-Studie.
I-REF	Opladen: Leske und Budrich.
B-REF	Graf, J. (2002): Wenn Paare Eltern werden. Weinheim: Beltz.
B-REF	Henry-Huthmacher, Chr./Borchard, M. (2008): Eltern unter Druck – Selbstverständnisse, Befindlichkeiten und
I-REF	Bedürfnisse von Eltern in verschiedenen Lebenswelten. Stuttgart: Lucius & Lucius.
B-REF	JMK [Jugendministerkonferenz] (2003): Stellenwert der Eltern-und Familienbildung. Stärkung der
I-REF	Erziehungskompetenz der Eltern. Beschluss.
I-REF	URL: http://www.familienbildung.de/download/pdf/Jugendministerkonferenz%202003.pdf [13.01.10]
B-REF	Kindler, H. (2006): Frühe Prävention von Kindesmisshandlung und -vernachlässigung: Ein internationaler
I-REF	Forschungsüberblick. In: Kindesmisshandlung und -vernachlässigung, 9. Jg., Heft 1, S. 23-47.
B-REF	Mändle, Chr. (2006): Geburtsvorbereitung. In: Das Online-Familienhandbuch.
I-REF	URL: http://www.familienhandbuch.de/cmain/f_Aktuelles/a_ Gesundheit/s_507.html [27.10.09]
B-REF	Lang-Hümer, A. (2005): Säuglingspflege, -ernährung und -ausstattung. In: Das Online-Familienhandbuch.
I-REF	URL: http://www.familienhandbuch.de/cmain/f_Aktuelles/a_ Gesundheit/s_898.html [27.10.09]
B-REF	Lönneker, J. (2009): Befragung zum Ernährungs-und Bewegungsverhalten in jungen Familien: Ausgewählte
I-REF	Ergebnisse. Beitrag zum Expertenforum der Plattform Ernährung und Bewegung e.V. in Osnabrück.
I-REF	URL: http://www.ernaehrung-und-bewegung.de/fileadmin/media/Junge_Eltern/Junge_Eltern_rheingold_MV.pdf
I-REF	[13.01.11]
B-REF	Lösel, F. (2006): Bestandsaufnahme und Evaluation von Angeboten im Elternbildungsbereich.
I-REF	URL: http://www.bmfsfj.de/doku/elternbildungsbereich/ [13.01.11]
B-REF	Masters, E. L. (1957): Parenthood as a crisis. In: Marriage and Family Living, 19, S. 352-355.
B-REF	Meysen, T./Schönecker, L. (2009): Kooperation für einen guten Start ins Kinderleben – der rechtliche Rahmen.
I-REF	In: Meysen, T.; Schönecker, L./Kindler, H. (Hrsg.): Frühe Hilfen im Kinderschutz. Rechtliche Rahmenbedin-
I-REF	gungen und Risikodiagnostik in der Kooperation von Gesundheits-und Jugendhilfe. Weinheim und Mün-
I-REF	chen: Juventa, S. 25-169.
B-REF	Mühling, T./Smolka, A. (2007): Wie informieren sich bayerische Eltern über erziehungs-und familienbezo-
I-REF	gene Themen? Ergebnisse der ifb-Elternbefragung zur Familienbildung 2006, Bamberg: ifb-Materialien
I-REF	5/2007.
B-REF	Neuscheler, V. (1991): Beruf und Berufsorganisation der Hebamme. Professionalisierung oder Deprofessio-
I-REF	nalisierung eines Gesundheitsberufs? Konstanz: Hartung-Gorre Verlag.
B-REF	Pädagogischer Fachbeirat des BDH [Bundes Deutscher Hebammen] (2005): Kompetenzprofildefinition.
I-REF	URL: http://www.hebammenverband.de/index.php?id=859 [30.03.11]
B-REF	Reichle, B. (1994): Die Geburt des ersten Kindes – eine Herausforderung für die Partnerschaft. Verarbeitung
I-REF	und Folgen einer einschneidenden Lebensveränderung. Bielefeld: Kleine.
B-REF	Reischmann, J. (2003): Weiterbildungsevaluation – Lernerfolge messbar machen. Neuwied, Kriftel: Luchter-
I-REF	hand.
B-REF	Romer, G./Riedesser, P. (1999): Prävention psychischer Störungen im Kindes-und Jugendalter. Perspektiven
I-REF	der Beziehungsberatung. In: Suess, G. J./Pfeifer, W.-K. P. (Hg.): Frühe Hilfen. Anwendung von Bindungs-und
I-REF	Kleinkindforschung in Erziehung, Beratung, Therapie und Vorbeugung. Gießen: Psychosozial-Verlag, S. 65-85.
B-REF	Rupp, M./Mengel, M./Smolka, A. (2010): Gesamtkonzept zur Familienbildung im Rahmen der Kinder-und
I-REF	Jugendhilfe in Bayern. Ein Handbuch. München: ifb-Materialien 7-2010.
B-REF	Satir, V. (2002): Selbstwert und Kommunikation. Stuttgart: Klett-Cotta.
B-REF	Staschek, B. (2006): Expertise Familienhebammen.
I-REF	URL: http://www.staschek.com/images/StaschekFamilienhebammen.pdf [13.01.10]
B-REF	Suchodoletz von, W. (2007): Prävention von Entwicklungsstörungen. Göttingen; Bern; Wien (u.a.): Hogrefe.
B-REF	Wiegand, G. (2001): Mutterschaft zwischen Rückzug ins Private und gesellschaftlichem Unterstützungsbe-
I-REF	darf. In: Bier-Fleiter, C. (Hrsg.): Familie und öffentliche Erziehung. Aufgaben, Abhängigkeiten und gegensei-
I-REF	tige Ansprüche. Opladen: Leske und Budrich.
B-REF	Wittke, V. (2008): Sozial benachteiligte Familien in der Familienbildung. In: Schauplatz Familienbildung – eine
I-REF	Handreichung. Berlin: AWO Bundesverband. URL: http://mobile-familienbildung.de/hr/hr1.html [03.03.11]
B-REF	Ziegenhain, U. (2007): Stärkung elterlicher Beziehungs-und Erziehungskompetenzen – Chance für präven-
I-REF	tive Hilfen im Kinderschutz. In: Ziegenhain, U./Fegert, J. M. (Hg.): Kindeswohlgefährdung und Vernachlässi-
I-REF	gung. München; Basel: Ernst Reinhardt, S. 119-127.
B-REF	Zierau, J./Gonzales-Campanini, I.-M. (2005): Modellprojekt Aufsuchende Familienhilfe für junge Mütter –
I-REF	Netzwerk Familienhebammen. Ergebnisse der Evaluation. Hannover: Institut für Entwicklungsplanung und
I-REF	Strukturforschung GmbH an der Universität Hannover. Bericht 104.05.
I-REF	URL: http://www.ies.uni-hannover.de/fileadmin/download/NEFA_Bericht_01.pdf [03.03.11]
